CompanyName,Year_Founded,HeadQuarter,Founders,Investor,Industry,Head Quarter,Industry In,AboutCompany,Amount in ($),Funding_Round_Series
Niro,2021,Bangalore,"Aditya Kumar, Sankalp Mathur",Elevar Equity,,Bangalore,Financial Services,Embedding personal credit products into leading consumer internet platforms.,3500000.0,Seed
AnKa SumMor,2017,Bangalore,"Rajiv Joshi, Ashok George",Inflection Point Ventures,,Bangalore,Sales and Distribution,"AnKa SumMor is the service that allows businesses to focus on building their brands, while they provide Supply & Distribution expertise.",1000000.0,Pre-series A
Playto Labs,2021,Bangalore,Pavan Ponnaganti,Inflection Point Ventures,,Bangalore,E-learning,Playto Labs provides robotics toys and online classes for kids to help them develop the key 21st century skills. Book a free trial for your child today at www.playtolabs.com,500000.0,Seed
Fraazo,2020,Mumbai,"Atul Kumar, Aashish Krishnatre",WestBridge Capital,,Mumbai,Food & Beverages,FRAAZO is Mumbai's favourite App for Fresh Vegetables and Fruits coming straight from the Farm to your Doorstep within 18 Hours.,50000000.0,Series B
FloCareer,2018,Bangalore,"Mohit Jain,  Mehul Bhatt",Data Point Capital,,Bangalore,Information Services,"The Best Skills Validation Platform that provides ""Interview As-A-Service""?.",5700000.0,Series A
Nap Chief,2019,Mumbai,Raghav Gupta,Titan Capital,,Mumbai,Apparel & Fashion,India's favourite Kid's wear and Family Sleepwear D2C Brand,200000.0,Seed
AcknoLedger,2021,Mumbai,Yash Dahenkar,"Momentum 6, Basics Capital, Krypital Capital, Shima Capital, Magnus Capital",,Mumbai,Crypto,AcknoLedger is a Global platform that distributes Web 3.0 Digital Assets Seamlessly across all the Metaverses and Gaming,1500000.0,Seed
Aviom India,2016,Bhilwara,Kajal Ilmi,Sabre Partners,,Bhilwara,Financial Services,AVIOM India Housing Finance Pvt. Ltd. is a venture started by experienced professionals with a vision to improve the standard of living of families from the informal sector in rural areas,8000000.0,Series C
SaaS Labs,2016,Noida,Gaurav Sharma,"Base 10 Partners, Eight Roads Ventures",,Noida,SaaS,"Building high impact communication, workflow and productivity tools for sales and support teams throughout the globe.",17000000.0,Series A
Devnagri,2017,Noida,"Nakul Kundra, Himanshu Sharma","enture Catalyst, IPV",,Noida,Translation & Localization,"Devnagri is an AI powered human translation platform, working in all 22 Indian languages.",600000.0,Seed
CRED,2018,Bangalore,Kunal Shah,"Tiger Global, Falcon Edge",,Bangalore,Finance,CRED is a credit card payment platform that rewards users with points for paying their bills.,250000000.0,Series E
ConveGenius,2013,Noida,"Jairaj Bhattacharya, Shashank Pandey","BAce Capital, Heritas Capital, 3Lines Venture Capital",,Noida,Education Management,An EdTech social enterprise focused on closing the gap in educational achievement for children and youth in India.,5000000.0,Pre-seed
CredAble,2017,Mumbai,Nirav Choksi,"Plutus Wealth, Oaks Asset Management",,Mumbai,Financial Services,CredAble provides liquidity programs for enterprise supply chains.,30000000.0,Series B
MarketWolf,2017,Mumbai,"Vishesh Dhingra, Thomas Joseph","Anil Thadani, Ashutosh Sinha, Roy van Leeuwen",,Mumbai,Financial Services,"MarketWolf provides everyone an opportunity to begin their trading journey with a unique digital platform that is bold, simple and fun.",5500000.0,Seed
Wondrlab,2020,Mumbai,Saurabh Varma,"Pi Ventures LLP, Tanas Capital, Prodapt Holdings",,Mumbai,Marketing & Advertising,India's largest platform-first martech startup,7000000.0,Pre-series A
